locus_tag	ftype	length_bp	gene	EC_number	COG	product
HFDHAJOI_02847	CDS	1521	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
HFDHAJOI_02848	CDS	234				hypothetical protein
HFDHAJOI_02849	CDS	270				hypothetical protein
HFDHAJOI_02850	CDS	747				hypothetical protein
HFDHAJOI_02851	CDS	399				hypothetical protein
HFDHAJOI_02852	CDS	705				hypothetical protein
HFDHAJOI_02853	CDS	636	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
HFDHAJOI_02854	CDS	828				hypothetical protein
HFDHAJOI_02855	CDS	687				hypothetical protein
HFDHAJOI_02856	CDS	663				hypothetical protein
HFDHAJOI_02857	CDS	474				hypothetical protein
HFDHAJOI_02858	CDS	1314	lutA			Lactate utilization protein A
HFDHAJOI_02859	CDS	381				hypothetical protein
HFDHAJOI_02860	CDS	1206				hypothetical protein
HFDHAJOI_02861	CDS	1434		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
HFDHAJOI_02862	CDS	897	dmlR_4			HTH-type transcriptional regulator DmlR
HFDHAJOI_02863	CDS	531				hypothetical protein
HFDHAJOI_02864	CDS	1428				hypothetical protein
HFDHAJOI_02865	CDS	255				hypothetical protein
HFDHAJOI_02866	CDS	336				hypothetical protein
HFDHAJOI_02867	CDS	1272				hypothetical protein
HFDHAJOI_02868	CDS	831	pdhR		COG2186	Pyruvate dehydrogenase complex repressor
HFDHAJOI_02869	CDS	1335	mfpsA	2.4.1.246	COG0438	Mannosylfructose-phosphate synthase
HFDHAJOI_02870	CDS	774	mfppA	3.1.3.79	COG0561	Mannosylfructose-phosphate phosphatase
HFDHAJOI_02871	CDS	510				hypothetical protein
HFDHAJOI_02872	CDS	1506				hypothetical protein
HFDHAJOI_02873	CDS	738	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
HFDHAJOI_02874	CDS	1374	egtA	6.3.2.2		Glutamate--cysteine ligase EgtA
HFDHAJOI_02875	CDS	903				hypothetical protein
HFDHAJOI_02876	CDS	2508				hypothetical protein
HFDHAJOI_02877	CDS	312				hypothetical protein
HFDHAJOI_02878	CDS	954	hdfR_2			HTH-type transcriptional regulator HdfR
HFDHAJOI_02879	CDS	612				hypothetical protein
HFDHAJOI_02880	CDS	1152				hypothetical protein
HFDHAJOI_02881	CDS	480				hypothetical protein
HFDHAJOI_02882	CDS	1029	adhT	1.1.1.1		Alcohol dehydrogenase
HFDHAJOI_02883	CDS	876				hypothetical protein
HFDHAJOI_02884	CDS	414				hypothetical protein
HFDHAJOI_02885	CDS	570				hypothetical protein
HFDHAJOI_02886	CDS	1491	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
HFDHAJOI_02887	CDS	312				hypothetical protein
HFDHAJOI_02888	CDS	990				hypothetical protein
HFDHAJOI_02889	CDS	1407	hsrA			putative transport protein HsrA
HFDHAJOI_02890	CDS	384				hypothetical protein
HFDHAJOI_02891	CDS	783	rlmE	2.1.1.166		Ribosomal RNA large subunit methyltransferase E
HFDHAJOI_02892	CDS	1698	gppA_2	3.6.1.40		Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
HFDHAJOI_02893	tRNA	74				tRNA-Gln(ctg)
HFDHAJOI_02894	CDS	255				hypothetical protein
HFDHAJOI_02895	CDS	1539				IS3 family transposase ISAtu3
HFDHAJOI_02896	CDS	663				hypothetical protein
HFDHAJOI_02897	CDS	1041	banIM	2.1.1.37		Modification methylase BanI
HFDHAJOI_02898	CDS	903				hypothetical protein
HFDHAJOI_02899	CDS	2178				hypothetical protein
HFDHAJOI_02900	CDS	1635	araB_1	2.7.1.16	COG1069	Ribulokinase
HFDHAJOI_02901	CDS	729	rbtD	1.1.1.56		Ribitol 2-dehydrogenase
HFDHAJOI_02902	CDS	1263	xylH_2		COG4214	Xylose transport system permease protein XylH
HFDHAJOI_02903	CDS	822	frcA_2	7.5.2.-	COG1129	Fructose import ATP-binding protein FrcA
HFDHAJOI_02904	CDS	1047	xylF_2		COG4213	D-xylose-binding periplasmic protein
HFDHAJOI_02905	CDS	1014	purR_2			HTH-type transcriptional repressor PurR
HFDHAJOI_02906	CDS	1008	fabH_2	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
HFDHAJOI_02907	CDS	978	oleD	1.1.1.412	COG0451	2-alkyl-3-oxoalkanoate reductase
HFDHAJOI_02908	CDS	822				hypothetical protein
HFDHAJOI_02909	CDS	1272				hypothetical protein
HFDHAJOI_02910	CDS	1122				hypothetical protein
HFDHAJOI_02911	CDS	990				hypothetical protein
HFDHAJOI_02912	CDS	1191				hypothetical protein
HFDHAJOI_02913	CDS	1122				hypothetical protein
HFDHAJOI_02914	CDS	1194				IS91 family transposase ISAzo26
HFDHAJOI_02915	CDS	903				IS91 family transposase ISMno24
HFDHAJOI_02916	CDS	558				hypothetical protein
HFDHAJOI_02917	CDS	486				hypothetical protein
HFDHAJOI_02918	CDS	117				hypothetical protein
HFDHAJOI_02919	CDS	891	pgrR_3			HTH-type transcriptional regulator PgrR
HFDHAJOI_02920	CDS	447	iorA	1.3.99.16		Isoquinoline 1-oxidoreductase subunit alpha
HFDHAJOI_02921	CDS	2244	iorB	1.3.99.16		Isoquinoline 1-oxidoreductase subunit beta
HFDHAJOI_02922	CDS	375			COG3474	Cytochrome c2
HFDHAJOI_02923	CDS	1188	nepI		COG2814	Purine ribonucleoside efflux pump NepI
HFDHAJOI_02924	CDS	450				hypothetical protein
HFDHAJOI_02925	CDS	1017		1.1.1.1	COG1063	putative zinc-binding alcohol dehydrogenase
HFDHAJOI_02926	CDS	909	paoD		COG1975	Molybdenum cofactor insertion chaperone PaoD
HFDHAJOI_02927	CDS	405				hypothetical protein
HFDHAJOI_02928	CDS	1089			COG1073	putative protein
HFDHAJOI_02929	CDS	804	suhB_2	3.1.3.11	COG0483	Fructose-1,6-bisphosphatase/inositol-1-monophosphatase
HFDHAJOI_02930	CDS	1059	potA_3	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
HFDHAJOI_02931	CDS	2232				hypothetical protein
HFDHAJOI_02932	CDS	1026			COG1840	putative protein
HFDHAJOI_02933	CDS	1023			COG1840	putative protein
HFDHAJOI_02934	CDS	741	ompR_2			Transcriptional regulatory protein OmpR
HFDHAJOI_02935	CDS	2151	sasA_7	2.7.-.-		Adaptive-response sensory-kinase SasA
HFDHAJOI_02936	CDS	366				hypothetical protein
HFDHAJOI_02937	CDS	282				hypothetical protein
HFDHAJOI_02938	CDS	477				hypothetical protein
HFDHAJOI_02939	CDS	1635	mrpD_2		COG0651	Na(+)/H(+) antiporter subunit D
HFDHAJOI_02940	CDS	333	mnhC1		COG1006	Na(+)/H(+) antiporter subunit C1
HFDHAJOI_02941	CDS	2898	ndhB_2	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
HFDHAJOI_02942	CDS	264				hypothetical protein
HFDHAJOI_02943	CDS	2517	secDF		COG0341	Protein translocase subunit SecDF
HFDHAJOI_02944	CDS	405				hypothetical protein
HFDHAJOI_02945	CDS	1626	alkJ_2	1.1.99.-		Alcohol dehydrogenase [acceptor]
HFDHAJOI_02946	CDS	1500	lyx	2.7.1.-	COG1070	L-xylulose/3-keto-L-gulonate kinase
HFDHAJOI_02947	CDS	846	lsrF	2.3.1.245	COG1830	3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase
HFDHAJOI_02948	CDS	1728	eryB_1	1.1.1.402	COG0578	D-erythritol 1-phosphate dehydrogenase
HFDHAJOI_02949	CDS	999	yhdN_1	1.1.1.-	COG0667	Aldo-keto reductase YhdN
HFDHAJOI_02950	CDS	966	eryD_2		COG2390	Erythritol catabolism regulatory protein EryD
HFDHAJOI_02951	CDS	1002	rbsC_3		COG1172	Ribose import permease protein RbsC
HFDHAJOI_02952	CDS	1557	mglA_1	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
HFDHAJOI_02953	CDS	1014				hypothetical protein
HFDHAJOI_02954	CDS	1320	ubiB_1	2.7.-.-		protein kinase UbiB
HFDHAJOI_02955	CDS	1182				hypothetical protein
HFDHAJOI_02956	CDS	1167		5.1.3.11		Cellobiose 2-epimerase
HFDHAJOI_02957	CDS	1314		2.4.1.281		4-O-beta-D-mannosyl-D-glucose phosphorylase
HFDHAJOI_02958	CDS	2280	mshA_4	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
HFDHAJOI_02959	CDS	204				hypothetical protein
HFDHAJOI_02960	CDS	264				hypothetical protein
HFDHAJOI_02961	CDS	174				hypothetical protein
HFDHAJOI_02962	CDS	288				hypothetical protein
HFDHAJOI_02963	CDS	246				hypothetical protein
HFDHAJOI_02964	CDS	1053	ydiK_2		COG0628	Putative transport protein YdiK
HFDHAJOI_02965	CDS	807				hypothetical protein
HFDHAJOI_02966	CDS	1785				hypothetical protein
HFDHAJOI_02967	CDS	1104	ndbB	1.6.5.12		Demethylphylloquinone reductase NdbB
HFDHAJOI_02968	CDS	675	cysA_2	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
HFDHAJOI_02969	CDS	1728				hypothetical protein
HFDHAJOI_02970	CDS	1230	ynjB		COG4134	Protein YnjB
HFDHAJOI_02971	CDS	246				hypothetical protein
HFDHAJOI_02972	CDS	792				hypothetical protein
HFDHAJOI_02973	CDS	672	rpoE_1			ECF RNA polymerase sigma-E factor
HFDHAJOI_02974	CDS	618	ynjF		COG0558	Inner membrane protein YnjF
HFDHAJOI_02975	CDS	1512	merA	1.16.1.1		Mercuric reductase
HFDHAJOI_02976	CDS	918				hypothetical protein
HFDHAJOI_02977	CDS	2835				hypothetical protein
HFDHAJOI_02978	CDS	363	ybaN		COG2832	Inner membrane protein YbaN
HFDHAJOI_02979	CDS	1254	dadA1	1.4.99.-	COG0665	D-amino acid dehydrogenase 1
HFDHAJOI_02980	CDS	1359	puuA_2	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
HFDHAJOI_02981	CDS	1299	puuB_3	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
HFDHAJOI_02982	CDS	870		3.5.1.77		N-carbamoyl-D-amino acid hydrolase
HFDHAJOI_02983	CDS	534		2.7.1.12	COG3265	Gluconokinase
HFDHAJOI_02984	CDS	1698	alkJ_3	1.1.99.-		Alcohol dehydrogenase [acceptor]
HFDHAJOI_02985	CDS	609	nsrR			HTH-type transcriptional repressor NsrR
HFDHAJOI_02986	CDS	1038	futA1			Iron uptake protein A1
HFDHAJOI_02987	CDS	1059	bepA_2	3.4.-.-		Beta-barrel assembly-enhancing protease
HFDHAJOI_02988	CDS	1068				hypothetical protein
HFDHAJOI_02989	CDS	393				hypothetical protein
HFDHAJOI_02990	CDS	1497	bauC	1.2.1.-	COG1012	Putative 3-oxopropanoate dehydrogenase
HFDHAJOI_02991	CDS	906				hypothetical protein
HFDHAJOI_02992	CDS	462	ywnA		COG1959	Putative HTH-type transcriptional regulator YwnA
HFDHAJOI_02993	CDS	882	hdfR_3			HTH-type transcriptional regulator HdfR
HFDHAJOI_02994	CDS	606				hypothetical protein
HFDHAJOI_02995	CDS	1104	ilvE_2	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
HFDHAJOI_02996	CDS	864				hypothetical protein
HFDHAJOI_02997	CDS	288				hypothetical protein
HFDHAJOI_02998	CDS	303				hypothetical protein
HFDHAJOI_02999	tRNA	77				tRNA-His(gtg)
HFDHAJOI_03000	CDS	441				hypothetical protein
HFDHAJOI_03001	CDS	3690	rcsC_8	2.7.13.3		Sensor histidine kinase RcsC
HFDHAJOI_03002	CDS	1020	sasA_8	2.7.-.-		Adaptive-response sensory-kinase SasA
HFDHAJOI_03003	CDS	699	baeR_1		COG0745	Transcriptional regulatory protein BaeR
HFDHAJOI_03004	CDS	1482				hypothetical protein
HFDHAJOI_03005	CDS	642	rhtC_1		COG1280	Threonine efflux protein
HFDHAJOI_03006	CDS	1692				hypothetical protein
HFDHAJOI_03007	CDS	1953	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
HFDHAJOI_03008	CDS	1872				hypothetical protein
HFDHAJOI_03009	CDS	243				hypothetical protein
HFDHAJOI_03010	CDS	822	ydcV_5			Inner membrane ABC transporter permease protein YdcV
HFDHAJOI_03011	CDS	906	potH		COG1176	Putrescine transport system permease protein PotH
HFDHAJOI_03012	CDS	1155	potA_4	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
HFDHAJOI_03013	CDS	1101	potF		COG0687	Putrescine-binding periplasmic protein
HFDHAJOI_03014	CDS	1428	ramB		COG1396	HTH-type transcriptional regulator RamB
HFDHAJOI_03015	CDS	1290	icl	4.1.3.1	COG2224	Isocitrate lyase
HFDHAJOI_03016	CDS	249				hypothetical protein
HFDHAJOI_03017	CDS	876				hypothetical protein
HFDHAJOI_03018	CDS	222				hypothetical protein
HFDHAJOI_03019	CDS	2526				hypothetical protein
HFDHAJOI_03020	CDS	150				hypothetical protein
HFDHAJOI_03021	CDS	1182			COG2081	putative protein
HFDHAJOI_03022	CDS	1437	puuA_3	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
HFDHAJOI_03023	CDS	1287	puuB_4	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
HFDHAJOI_03024	CDS	384				hypothetical protein
HFDHAJOI_03025	CDS	1473	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
HFDHAJOI_03026	CDS	699	pgl	3.1.1.31	COG0363	6-phosphogluconolactonase
HFDHAJOI_03027	CDS	1818	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
HFDHAJOI_03028	CDS	1806				hypothetical protein
HFDHAJOI_03029	CDS	708				hypothetical protein
HFDHAJOI_03030	CDS	660	sigK_1		COG1595	ECF RNA polymerase sigma factor SigK
HFDHAJOI_03031	CDS	786				hypothetical protein
HFDHAJOI_03032	CDS	1332				hypothetical protein
HFDHAJOI_03033	CDS	705	fabG_4	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase
HFDHAJOI_03034	CDS	357				hypothetical protein
HFDHAJOI_03035	CDS	1089	malK_4	7.5.2.1		Maltose/maltodextrin import ATP-binding protein MalK
HFDHAJOI_03036	CDS	1656	malL_2	3.2.1.10	COG0366	Oligo-1,6-glucosidase
HFDHAJOI_03037	CDS	1164				hypothetical protein
HFDHAJOI_03038	CDS	1242				hypothetical protein
HFDHAJOI_03039	CDS	1353				hypothetical protein
HFDHAJOI_03040	CDS	1035	rafR_4			HTH-type transcriptional regulator RafR
HFDHAJOI_03041	CDS	903	folD		COG0190	Bifunctional protein FolD protein
HFDHAJOI_03042	CDS	825	tagA	2.4.1.187	COG1922	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase
HFDHAJOI_03043	CDS	540				hypothetical protein
HFDHAJOI_03044	CDS	366				hypothetical protein
HFDHAJOI_03045	CDS	561				hypothetical protein
HFDHAJOI_03046	CDS	411				hypothetical protein
HFDHAJOI_03047	CDS	750				hypothetical protein
HFDHAJOI_03048	CDS	2088	flhA_2		COG1298	Flagellar biosynthesis protein FlhA
HFDHAJOI_03049	CDS	267				hypothetical protein
HFDHAJOI_03050	CDS	465				hypothetical protein
HFDHAJOI_03051	CDS	450	flbT			flagellum biosynthesis repressor protein FlbT
HFDHAJOI_03052	CDS	348				hypothetical protein
HFDHAJOI_03053	CDS	1023				hypothetical protein
HFDHAJOI_03054	CDS	1455				hypothetical protein
HFDHAJOI_03055	CDS	1209	flgE		COG1749	Flagellar hook protein FlgE
HFDHAJOI_03056	CDS	672	ftcR			Flagellar transcriptional regulator FtcR
HFDHAJOI_03057	CDS	315				hypothetical protein
HFDHAJOI_03058	CDS	1398				hypothetical protein
HFDHAJOI_03059	CDS	1329				hypothetical protein
HFDHAJOI_03060	CDS	1347				hypothetical protein
HFDHAJOI_03061	CDS	654				hypothetical protein
HFDHAJOI_03062	CDS	960	fliC_1		COG1344	Flagellin
HFDHAJOI_03063	CDS	999	fliC_2		COG1344	Flagellin
HFDHAJOI_03064	CDS	996	fliC_3		COG1344	Flagellin
HFDHAJOI_03065	CDS	909	fliC_4		COG1344	Flagellin
HFDHAJOI_03066	CDS	738	fliP		COG1338	Flagellar biosynthetic protein FliP
HFDHAJOI_03067	CDS	519				hypothetical protein
HFDHAJOI_03068	CDS	720	flgH			Flagellar L-ring protein
HFDHAJOI_03069	CDS	537				hypothetical protein
HFDHAJOI_03070	CDS	1122	flgI			Flagellar P-ring protein
HFDHAJOI_03071	CDS	477				hypothetical protein
HFDHAJOI_03072	CDS	789	flgG_1		COG4786	Flagellar basal-body rod protein FlgG
HFDHAJOI_03073	CDS	339	fliE			Flagellar hook-basal body complex protein FliE
HFDHAJOI_03074	CDS	423	flgC		COG1558	Flagellar basal-body rod protein FlgC
HFDHAJOI_03075	CDS	396				hypothetical protein
HFDHAJOI_03076	CDS	567				hypothetical protein
HFDHAJOI_03077	CDS	1395	fliI	7.1.2.2	COG1157	Flagellum-specific ATP synthase
HFDHAJOI_03078	CDS	735	flgG_2		COG4786	Flagellar basal-body rod protein FlgG
HFDHAJOI_03079	CDS	879	motA		COG1291	Motility protein A
HFDHAJOI_03080	CDS	948				hypothetical protein
HFDHAJOI_03081	CDS	627				hypothetical protein
HFDHAJOI_03082	CDS	1038	fliG		COG1536	Flagellar motor switch protein FliG
HFDHAJOI_03083	CDS	1083	flhB		COG1377	Flagellar biosynthetic protein FlhB
HFDHAJOI_03084	CDS	441				hypothetical protein
HFDHAJOI_03085	CDS	750				hypothetical protein
HFDHAJOI_03086	CDS	750				hypothetical protein
HFDHAJOI_03087	CDS	1695	fliF		COG1766	Flagellar M-ring protein
HFDHAJOI_03088	CDS	330				hypothetical protein
HFDHAJOI_03089	CDS	555	cheD	3.5.1.44		Chemoreceptor glutamine deamidase CheD
HFDHAJOI_03090	CDS	390	cheY_2		COG0784	Chemotaxis protein CheY 
HFDHAJOI_03091	CDS	1047	cheB_1	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
HFDHAJOI_03092	CDS	903	cheR_2	2.1.1.80		Chemotaxis protein methyltransferase
HFDHAJOI_03093	CDS	471	cheW_4		COG0835	Chemotaxis protein CheW
HFDHAJOI_03094	CDS	2259	cheA_2	2.7.13.3	COG0643	Chemotaxis protein CheA
HFDHAJOI_03095	CDS	366	cheY_3		COG0784	Chemotaxis protein CheY 
HFDHAJOI_03096	CDS	303				hypothetical protein
HFDHAJOI_03097	CDS	1638				hypothetical protein
HFDHAJOI_03098	CDS	843	ku_1		COG1273	Non-homologous end joining protein Ku
HFDHAJOI_03099	CDS	2580	ligD		COG1793	Multifunctional non-homologous end joining protein LigD
HFDHAJOI_03100	CDS	810	ku_2		COG1273	Non-homologous end joining protein Ku
HFDHAJOI_03101	CDS	264				hypothetical protein
HFDHAJOI_03102	CDS	1584	glgA1_2	2.4.1.21	COG0297	Glycogen synthase 1
HFDHAJOI_03103	CDS	279				hypothetical protein
HFDHAJOI_03104	CDS	321				hypothetical protein
HFDHAJOI_03105	CDS	231				hypothetical protein
HFDHAJOI_03106	CDS	1704				hypothetical protein
HFDHAJOI_03107	CDS	354				hypothetical protein
HFDHAJOI_03108	CDS	255				hypothetical protein
HFDHAJOI_03109	CDS	1851	glgB_2	2.4.1.18		1,4-alpha-glucan branching enzyme GlgB
HFDHAJOI_03110	CDS	180				hypothetical protein
HFDHAJOI_03111	CDS	1089				hypothetical protein
HFDHAJOI_03112	CDS	570				hypothetical protein
HFDHAJOI_03113	CDS	849				hypothetical protein
HFDHAJOI_03114	CDS	510				hypothetical protein
HFDHAJOI_03115	CDS	651	rspR_2		COG1802	HTH-type transcriptional repressor RspR
HFDHAJOI_03116	CDS	1260				hypothetical protein
HFDHAJOI_03117	CDS	765	pxpA	3.5.2.9		5-oxoprolinase subunit A
HFDHAJOI_03118	CDS	807		4.2.1.-	COG4336	Putative hydro-lyase
HFDHAJOI_03119	CDS	1602				hypothetical protein
HFDHAJOI_03120	CDS	1737	carB_2			Carbamoyl-phosphate synthase large chain
HFDHAJOI_03121	CDS	192				hypothetical protein
HFDHAJOI_03122	CDS	828		4.1.2.41		Hydroxycinnamoyl-CoA hydratase-lyase
HFDHAJOI_03123	CDS	1581		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
HFDHAJOI_03124	CDS	513				hypothetical protein
HFDHAJOI_03125	CDS	1452	vdh	1.2.1.67		Vanillin dehydrogenase
HFDHAJOI_03126	CDS	1173	pobA	1.14.13.2		p-hydroxybenzoate hydroxylase
HFDHAJOI_03127	CDS	978	rhaS_4			HTH-type transcriptional activator RhaS
HFDHAJOI_03128	CDS	1605				hypothetical protein
HFDHAJOI_03129	CDS	921				hypothetical protein
HFDHAJOI_03130	CDS	759				hypothetical protein
HFDHAJOI_03131	CDS	810				hypothetical protein
HFDHAJOI_03132	CDS	1107	ribA	3.5.4.25		GTP cyclohydrolase-2
HFDHAJOI_03133	CDS	1002				hypothetical protein
HFDHAJOI_03134	CDS	399				hypothetical protein
HFDHAJOI_03135	CDS	1044	mshA_5	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
HFDHAJOI_03136	CDS	804				hypothetical protein
HFDHAJOI_03137	CDS	810				hypothetical protein
HFDHAJOI_03138	CDS	537	yceJ		COG3038	Cytochrome b561 
HFDHAJOI_03139	CDS	1179				hypothetical protein
HFDHAJOI_03140	CDS	963				hypothetical protein
HFDHAJOI_03141	CDS	657				hypothetical protein
HFDHAJOI_03142	CDS	1293	prsE_2			Type I secretion system membrane fusion protein PrsE
HFDHAJOI_03143	CDS	2154	hlyB		COG2274	Alpha-hemolysin translocation ATP-binding protein HlyB
HFDHAJOI_03144	CDS	1434				hypothetical protein
HFDHAJOI_03145	CDS	9009				hypothetical protein
HFDHAJOI_03146	CDS	798	udh	1.1.1.203	COG0451	Uronate dehydrogenase
HFDHAJOI_03147	CDS	789	nanR_2			HTH-type transcriptional repressor NanR
HFDHAJOI_03148	CDS	906		4.2.1.41	COG0329	putative 5-dehydro-4-deoxyglucarate dehydratase
HFDHAJOI_03149	CDS	1140	gci	5.5.1.27	COG4948	D-galactarolactone cycloisomerase
HFDHAJOI_03150	CDS	879		5.4.1.4	COG3618	D-galactarolactone isomerase
HFDHAJOI_03151	CDS	975			COG1638	Solute-binding protein
HFDHAJOI_03152	CDS	528				hypothetical protein
HFDHAJOI_03153	CDS	1281	dctM_3		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
HFDHAJOI_03154	CDS	1053	ocd	4.3.1.12		Ornithine cyclodeaminase
HFDHAJOI_03155	CDS	999				hypothetical protein
HFDHAJOI_03156	CDS	558	recX			Regulatory protein RecX
HFDHAJOI_03157	CDS	723	nreC_3		COG2197	Oxygen regulatory protein NreC
HFDHAJOI_03158	CDS	1245				hypothetical protein
HFDHAJOI_03159	CDS	1017				hypothetical protein
HFDHAJOI_03160	CDS	1458	rbsA_4	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
HFDHAJOI_03161	CDS	948				hypothetical protein
HFDHAJOI_03162	CDS	954				hypothetical protein
HFDHAJOI_03163	CDS	912	gnl_1	3.1.1.17		Gluconolactonase
HFDHAJOI_03164	CDS	411	vapC_2	3.1.-.-	COG1487	tRNA(fMet)-specific endonuclease VapC
HFDHAJOI_03165	CDS	231	vapB		COG4456	Antitoxin VapB
HFDHAJOI_03166	CDS	1800	atzF	3.5.1.54		Allophanate hydrolase
HFDHAJOI_03167	CDS	3537	carB_3			Carbamoyl-phosphate synthase large chain
HFDHAJOI_03168	CDS	654				hypothetical protein
HFDHAJOI_03169	CDS	828				hypothetical protein
HFDHAJOI_03170	CDS	789	cmpD_2	3.6.3.-		Bicarbonate transport ATP-binding protein CmpD
HFDHAJOI_03171	CDS	819				hypothetical protein
HFDHAJOI_03172	CDS	1122				hypothetical protein
HFDHAJOI_03173	CDS	339				hypothetical protein
HFDHAJOI_03174	CDS	900	qorB	1.6.5.2	COG0702	Quinone oxidoreductase 2
HFDHAJOI_03175	CDS	462				hypothetical protein
HFDHAJOI_03176	CDS	1293				hypothetical protein
HFDHAJOI_03177	CDS	1080				hypothetical protein
HFDHAJOI_03178	CDS	168				hypothetical protein
HFDHAJOI_03179	CDS	915	kdgK	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
HFDHAJOI_03180	CDS	756	kduD	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
HFDHAJOI_03181	CDS	735	rspR_3		COG1802	HTH-type transcriptional repressor RspR
HFDHAJOI_03182	CDS	804	COQ5_3	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
HFDHAJOI_03183	CDS	1140			COG0614	putative protein
HFDHAJOI_03184	CDS	1134				hypothetical protein
HFDHAJOI_03185	CDS	1068	hmuU_2		COG0609	Hemin transport system permease protein HmuU
HFDHAJOI_03186	CDS	753	fecE		COG1120	Fe(3+) dicitrate transport ATP-binding protein FecE
HFDHAJOI_03187	CDS	627				hypothetical protein
HFDHAJOI_03188	CDS	1173	tyrB	2.6.1.57	COG1448	Aromatic-amino-acid aminotransferase
HFDHAJOI_03189	CDS	471	lrp_6		COG1522	Leucine-responsive regulatory protein
HFDHAJOI_03190	CDS	1701				hypothetical protein
HFDHAJOI_03191	CDS	852	gsiA_2	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
HFDHAJOI_03192	CDS	849	dppD_1		COG0444	Dipeptide transport ATP-binding protein DppD
HFDHAJOI_03193	CDS	909	dppC		COG1173	Dipeptide transport system permease protein DppC
HFDHAJOI_03194	CDS	1005	dppB_2		COG0601	Dipeptide transport system permease protein DppB
HFDHAJOI_03195	CDS	1599	dppA_1		COG0747	Periplasmic dipeptide transport protein
HFDHAJOI_03196	CDS	3072	mdtB_2			Multidrug resistance protein MdtB
HFDHAJOI_03197	CDS	1152	bepF_2			Efflux pump periplasmic linker BepF
HFDHAJOI_03198	CDS	603				hypothetical protein
HFDHAJOI_03199	CDS	780				hypothetical protein
HFDHAJOI_03200	CDS	705	elmMI	2.1.1.305		8-demethyl-8-alpha-L-rhamnosyl tetracenomycin-C 2'-O-methyltransferase
HFDHAJOI_03201	CDS	1770				hypothetical protein
HFDHAJOI_03202	tRNA	76				tRNA-Phe(gaa)
HFDHAJOI_03203	CDS	213	yacG			DNA gyrase inhibitor YacG
HFDHAJOI_03204	CDS	621	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
HFDHAJOI_03205	CDS	219	infA			Translation initiation factor IF-1
HFDHAJOI_03206	CDS	462	arsC_3	1.20.4.4	COG0394	Arsenate reductase
HFDHAJOI_03207	CDS	474				hypothetical protein
HFDHAJOI_03208	CDS	1299	hisD	1.1.1.23		Histidinol dehydrogenase
HFDHAJOI_03209	CDS	438				hypothetical protein
HFDHAJOI_03210	CDS	1293	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
HFDHAJOI_03211	CDS	315				hypothetical protein
HFDHAJOI_03212	tRNA	75				tRNA-Thr(ggt)
HFDHAJOI_03213	CDS	627	fadR			Fatty acid metabolism regulator protein
HFDHAJOI_03214	CDS	1080	ttgD			Toluene efflux pump periplasmic linker protein TtgD
HFDHAJOI_03215	CDS	1086	mdtE_2			Multidrug resistance protein MdtE
HFDHAJOI_03216	CDS	3081	swrC		COG0841	Swarming motility protein SwrC
HFDHAJOI_03217	CDS	1212	nylB	3.5.1.46		6-aminohexanoate-dimer hydrolase
HFDHAJOI_03218	CDS	963				hypothetical protein
HFDHAJOI_03219	CDS	909	oxyR_3			Hydrogen peroxide-inducible genes activator
